Residue,d,q,calibration_case,nCal,OOC_ND,OOC_3A,OOC_3B,benchmark_n,mu_0,s_Z,sigma_Z,degrees_of_freedom,chi_square_limit,UCL_S,CL,UCL,W,G,in_C_d,in_D1,in_D2,in_A,in_U,selected,recommended_d,observed_behavior_case,arl_curve_case,selected_case,selection_rule,A_values,U_values,selection_path,recommendation_notes,sigma_1_rho_1p05,sigma_1_rho_1p1,sigma_1_rho_1p2,sigma_1_rho_1p5,sigma_1_rho_2,sigma_1_rho_2p25,S_chart_ARL1_rho_1p05,S_chart_ARL1_rho_1p1,S_chart_ARL1_rho_1p2,S_chart_ARL1_rho_1p5,S_chart_ARL1_rho_2,S_chart_ARL1_rho_2p25,ARL1_rho_1p05,ARL1_rho_1p1,ARL1_rho_1p2,ARL1_rho_1p5,ARL1_rho_2,ARL1_rho_2p25,relative_ARL_ratio_rho_1p05,relative_ARL_ratio_rho_1p1,relative_ARL_ratio_rho_1p2,relative_ARL_ratio_rho_1p5,relative_ARL_ratio_rho_2,relative_ARL_ratio_rho_2p25
DAR,1,3,Case 2,3,0,0,0,6,2.4620028774182225,6.044080466352931,6.044080466352931,5,19.81895467246682,12.033323924396344,0.23146534233651364,4.635609058923616,4.488060822600004,1.5006288366076057,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1,D1_intersect_D2,XO,Case 2,XO case: minimum W over A; minimum G among candidates tied on W; maximum d if a tie remains according to Rule 3,"1, 2",,Case 2 | D1_intersect_D2 | XO | XO case: minimum W over A; minimum G among candidates tied on W; maximum d if a tie remains according to Rule 3,U is empty: every candidate in A has at least one rho value for which its d-CCSSBU-S ARL1 exceeds the corresponding S-chart ARL1 benchmark.,6.346284489670578,6.648488512988224,7.252896559623516,9.066120699529396,12.088160932705861,13.599181049294094,336.0036611624515,171.2154467017466,58.1871341765057,8.550384173111635,2.3728794425910427,1.7801868112381989,208.33333333333334,103.62694300518135,44.84304932735426,18.975332068311197,10.649627263045794,7.057163020465773,0.6200329264644769,0.6052429555944044,0.7706694952758233,2.2192373680685438,4.488060822600004,3.9642822741491965
DAR,2,3,Case 2,7,0,0,0,6,2.4620028774182225,6.044080466352931,6.044080466352931,5,19.81895467246682,12.033323924396344,0.2222946059860798,3.366074923310215,14.802076370143377,7.363534498023827,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1,D1_intersect_D2,XO,Case 2,XO case: minimum W over A; minimum G among candidates tied on W; maximum d if a tie remains according to Rule 3,"1, 2",,Case 2 | D1_intersect_D2 | XO | XO case: minimum W over A; minimum G among candidates tied on W; maximum d if a tie remains according to Rule 3,U is empty: every candidate in A has at least one rho value for which its d-CCSSBU-S ARL1 exceeds the corresponding S-chart ARL1 benchmark.,6.346284489670578,6.648488512988224,7.252896559623516,9.066120699529396,12.088160932705861,13.599181049294094,336.0036611624515,171.2154467017466,58.1871341765057,8.550384173111635,2.3728794425910427,1.7801868112381989,666.6666666666666,606.0606060606061,540.5405405405405,112.35955056179776,29.80625931445603,26.35046113306983,1.984105364686326,3.539754255446063,9.28969175386533,13.140877449124973,12.561219411092111,14.802076370143377
DAR,3,3,Case 2,10,0,1,0,6,2.4620028774182225,6.044080466352931,6.044080466352931,5,19.81895467246682,12.033323924396344,0.3285445514298918,3.1582403122508915,10.2143064888395,3.910740058052163,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,D1_intersect_D2,XO,Case 2,XO case: minimum W over A; minimum G among candidates tied on W; maximum d if a tie remains according to Rule 3,"1, 2",,Case 2 | D1_intersect_D2 | XO | XO case: minimum W over A; minimum G among candidates tied on W; maximum d if a tie remains according to Rule 3,U is empty: every candidate in A has at least one rho value for which its d-CCSSBU-S ARL1 exceeds the corresponding S-chart ARL1 benchmark.,6.346284489670578,6.648488512988224,7.252896559623516,9.066120699529396,12.088160932705861,13.599181049294094,336.0036611624515,171.2154467017466,58.1871341765057,8.550384173111635,2.3728794425910427,1.7801868112381989,465.1162790697674,400,285.7142857142857,87.33624454148472,10.695187165775401,8.710801393728223,1.384259556757902,2.3362378085944013,4.9102656413288175,10.2143064888395,4.50726108280364,4.893195106680672
CAR,1,1,Case 1,10,0,0,0,3,1.5082444228903977,0.8730643075234003,0.8730643075234003,2,13.213300372396452,2.2440725317922268,0.022694095126524316,0.2010557379322708,4.557442658485282,2.6012290532000057,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1,D1_intersect_D2,XO,Case 2,XO case: minimum W over A; minimum G among candidates tied on W; maximum d if a tie remains according to Rule 3,1,,Case 2 | D1_intersect_D2 | XO | XO case: minimum W over A; minimum G among candidates tied on W; maximum d if a tie remains according to Rule 3,U is empty: every candidate in A has at least one rho value for which its d-CCSSBU-S ARL1 exceeds the corresponding S-chart ARL1 benchmark.,0.9167175228995703,0.9603707382757404,1.0476771690280802,1.3095964612851003,1.7461286150468005,1.9643946919276505,400.38495537320654,235.1071755145163,98.29287262764328,18.84577916121035,5.215643873719814,3.687752967727198,555.5555555555555,370.3703703703703,206.18556701030928,63.897763578274756,22.80501710376283,16.80672268907563,1.387553523427751,1.575325676725262,2.097665491895726,3.3905609861858848,4.372426042865197,4.557442658485282
Mic,1,1,Case 1,10,0,0,0,2,0.2,0.8944271909999159,0.8944271909999159,1,10.271032788079355,2.866500694307169,0.012202162893249966,2.051571710410548,1.539528778756592,0.18283095347242959,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1,D1_intersect_D2,XO,Case 2,XO case: minimum W over A; minimum G among candidates tied on W; maximum d if a tie remains according to Rule 3,1,,Case 2 | D1_intersect_D2 | XO | XO case: minimum W over A; minimum G among candidates tied on W; maximum d if a tie remains according to Rule 3,U is empty: every candidate in A has at least one rho value for which its d-CCSSBU-S ARL1 exceeds the corresponding S-chart ARL1 benchmark.,0.9391485505499116,0.9838699100999075,1.073312629199899,1.3416407864998738,1.7888543819998317,2.0124611797498106,440.2468208056187,279.7932005373949,132.11385971421498,30.643344648661692,9.1690805046656,6.479295796078627,11.204481792717088,9.97506234413965,9.97506234413965,9.97506234413965,9.97506234413965,9.97506234413965,0.025450454752208602,0.03565155380824368,0.0755035267739314,0.32552133125504945,1.0879021445022687,1.539528778756592
