Residue,d,q,calibration_case,nCal,OOC_ND,OOC_3A,OOC_3B,benchmark_n,mu_0,s_Z,sigma_Z,degrees_of_freedom,chi_square_limit,UCL_S,CL,UCL,W,G,in_C_d,in_D1,in_D2,in_A,in_U,selected,recommended_d,observed_behavior_case,arl_curve_case,selected_case,selection_rule,A_values,U_values,selection_path,recommendation_notes,sigma_1_rho_1p05,sigma_1_rho_1p1,sigma_1_rho_1p2,sigma_1_rho_1p5,sigma_1_rho_2,sigma_1_rho_2p25,S_chart_ARL1_rho_1p05,S_chart_ARL1_rho_1p1,S_chart_ARL1_rho_1p2,S_chart_ARL1_rho_1p5,S_chart_ARL1_rho_2,S_chart_ARL1_rho_2p25,ARL1_rho_1p05,ARL1_rho_1p1,ARL1_rho_1p2,ARL1_rho_1p5,ARL1_rho_2,ARL1_rho_2p25,relative_ARL_ratio_rho_1p05,relative_ARL_ratio_rho_1p1,relative_ARL_ratio_rho_1p2,relative_ARL_ratio_rho_1p5,relative_ARL_ratio_rho_2,relative_ARL_ratio_rho_2p25
DAR,11,26,Case 5,89,0,1,0,5,18.922439024390243,7.101128539824539,7.101128539824539,4,17.798186718547473,14.97908404924614,0.5860583497158703,12.716325431088555,47.45982006082961,10.933018446959327,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,13,D1,XO,Case 4,XO case: minimum W over A; minimum G among candidates tied on W; maximum d if a tie remains according to Rule 3,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26",,Case 4 | D1 | XO | XO case: minimum W over A; minimum G among candidates tied on W; maximum d if a tie remains according to Rule 3,D2 is empty: every candidate d flagged at least one nominal Stage 3A event as OOC. | U is empty: every candidate in A has at least one rho value for which its d-CCSSBU-S ARL1 exceeds the corresponding S-chart ARL1 benchmark.,7.4561849668157665,7.811241393806993,8.521354247789446,10.651692809736808,14.202257079649078,15.977539214605212,353.0380779002498,187.13075913119312,67.26478698621594,10.535227469449868,2.8688483408311294,2.103065003134447,625,606.0606060606061,588.2352941176471,500,134.2281879194631,32.25806451612903,1.7703472773171864,3.2387011567441504,8.745070347701981,47.45982006082961,46.78817838121623,15.338596033908138
DAR,12,26,Case 5,99,0,1,0,5,18.922439024390243,7.101128539824539,7.101128539824539,4,17.798186718547473,14.97908404924614,0.4499058412074808,12.630404828306473,54.464363896884514,10.800037033317901,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,13,D1,XO,Case 4,XO case: minimum W over A; minimum G among candidates tied on W; maximum d if a tie remains according to Rule 3,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26",,Case 4 | D1 | XO | XO case: minimum W over A; minimum G among candidates tied on W; maximum d if a tie remains according to Rule 3,D2 is empty: every candidate d flagged at least one nominal Stage 3A event as OOC. | U is empty: every candidate in A has at least one rho value for which its d-CCSSBU-S ARL1 exceeds the corresponding S-chart ARL1 benchmark.,7.4561849668157665,7.811241393806993,8.521354247789446,10.651692809736808,14.202257079649078,15.977539214605212,353.0380779002498,187.13075913119312,67.26478698621594,10.535227469449868,2.8688483408311294,2.103065003134447,606.0606060606061,555.5555555555555,555.5555555555555,434.7826086956522,156.25,35.273368606701936,1.7167003901257567,2.9688093936821374,8.25923310616298,41.269408748547484,54.464363896884514,16.772362506213483
DAR,13,26,Case 5,101,0,1,0,5,18.922439024390243,7.101128539824539,7.101128539824539,4,17.798186718547473,14.97908404924614,0.42723701450821844,7.323655278991587,7.332250995391708,3.033602564086061,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,13,D1,XO,Case 4,XO case: minimum W over A; minimum G among candidates tied on W; maximum d if a tie remains according to Rule 3,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26",,Case 4 | D1 | XO | XO case: minimum W over A; minimum G among candidates tied on W; maximum d if a tie remains according to Rule 3,D2 is empty: every candidate d flagged at least one nominal Stage 3A event as OOC. | U is empty: every candidate in A has at least one rho value for which its d-CCSSBU-S ARL1 exceeds the corresponding S-chart ARL1 benchmark.,7.4561849668157665,7.811241393806993,8.521354247789446,10.651692809736808,14.202257079649078,15.977539214605212,353.0380779002498,187.13075913119312,67.26478698621594,10.535227469449868,2.8688483408311294,2.103065003134447,625,512.8205128205128,96.15384615384616,24.96878901373283,18.552875695732837,15.420200462606013,1.7703472773171864,2.740439440321973,1.4294826529897469,2.370028467457159,6.467011668646769,7.332250995391708
DAR,14,26,Case 5,111,0,1,0,5,18.922439024390243,7.101128539824539,7.101128539824539,4,17.798186718547473,14.97908404924614,0.4993679051282955,7.615403295018182,9.783878128624533,4.112899958783316,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,13,D1,XO,Case 4,XO case: minimum W over A; minimum G among candidates tied on W; maximum d if a tie remains according to Rule 3,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26",,Case 4 | D1 | XO | XO case: minimum W over A; minimum G among candidates tied on W; maximum d if a tie remains according to Rule 3,D2 is empty: every candidate d flagged at least one nominal Stage 3A event as OOC. | U is empty: every candidate in A has at least one rho value for which its d-CCSSBU-S ARL1 exceeds the corresponding S-chart ARL1 benchmark.,7.4561849668157665,7.811241393806993,8.521354247789446,10.651692809736808,14.202257079649078,15.977539214605212,353.0380779002498,187.13075913119312,67.26478698621594,10.535227469449868,2.8688483408311294,2.103065003134447,606.0606060606061,500,259.7402597402597,33.72681281618887,25.03128911138924,20.5761316872428,1.7167003901257567,2.6719284543139237,3.8614596340502247,3.2013369349632113,8.725204729413289,9.783878128624533
DAR,15,26,Case 5,121,0,1,0,5,18.922439024390243,7.101128539824539,7.101128539824539,4,17.798186718547473,14.97908404924614,0.6372753672695279,10.591595320102956,41.269408748547484,9.557590603546485,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,13,D1,XO,Case 4,XO case: minimum W over A; minimum G among candidates tied on W; maximum d if a tie remains according to Rule 3,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26",,Case 4 | D1 | XO | XO case: minimum W over A; minimum G among candidates tied on W; maximum d if a tie remains according to Rule 3,D2 is empty: every candidate d flagged at least one nominal Stage 3A event as OOC. | U is empty: every candidate in A has at least one rho value for which its d-CCSSBU-S ARL1 exceeds the corresponding S-chart ARL1 benchmark.,7.4561849668157665,7.811241393806993,8.521354247789446,10.651692809736808,14.202257079649078,15.977539214605212,353.0380779002498,187.13075913119312,67.26478698621594,10.535227469449868,2.8688483408311294,2.103065003134447,689.6551724137931,689.6551724137931,645.1612903225806,434.7826086956522,44.943820224719104,35.90664272890485,1.9534866508327575,3.6854185576743776,9.591367478124752,41.269408748547484,15.666154109665658,17.073482120328627
DAR,16,26,Case 5,128,0,1,0,5,18.922439024390243,7.101128539824539,7.101128539824539,4,17.798186718547473,14.97908404924614,0.5850652992278444,11.406141642603071,52.73313340092179,10.935026226182607,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,13,D1,XO,Case 4,XO case: minimum W over A; minimum G among candidates tied on W; maximum d if a tie remains according to Rule 3,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26",,Case 4 | D1 | XO | XO case: minimum W over A; minimum G among candidates tied on W; maximum d if a tie remains according to Rule 3,D2 is empty: every candidate d flagged at least one nominal Stage 3A event as OOC. | U is empty: every candidate in A has at least one rho value for which its d-CCSSBU-S ARL1 exceeds the corresponding S-chart ARL1 benchmark.,7.4561849668157665,7.811241393806993,8.521354247789446,10.651692809736808,14.202257079649078,15.977539214605212,353.0380779002498,187.13075913119312,67.26478698621594,10.535227469449868,2.8688483408311294,2.103065003134447,666.6666666666666,666.6666666666666,666.6666666666666,555.5555555555555,66.88963210702342,43.859649122807014,1.888370429138332,3.5625712724185647,9.911079727395578,52.73313340092179,23.31584808963618,20.855108642594395
DAR,17,26,Case 5,138,0,1,0,5,18.922439024390243,7.101128539824539,7.101128539824539,4,17.798186718547473,14.97908404924614,0.5444582614563569,7.245563417773226,14.026444750771454,4.3175245096396475,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,13,D1,XO,Case 4,XO case: minimum W over A; minimum G among candidates tied on W; maximum d if a tie remains according to Rule 3,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26",,Case 4 | D1 | XO | XO case: minimum W over A; minimum G among candidates tied on W; maximum d if a tie remains according to Rule 3,D2 is empty: every candidate d flagged at least one nominal Stage 3A event as OOC. | U is empty: every candidate in A has at least one rho value for which its d-CCSSBU-S ARL1 exceeds the corresponding S-chart ARL1 benchmark.,7.4561849668157665,7.811241393806993,8.521354247789446,10.651692809736808,14.202257079649078,15.977539214605212,353.0380779002498,187.13075913119312,67.26478698621594,10.535227469449868,2.8688483408311294,2.103065003134447,588.2352941176471,476.1904761904762,131.57894736842104,47.961630695443645,35.08771929824561,29.498525073746315,1.6662092021808814,2.544693766013261,1.9561341567228112,4.552500725259435,12.230593997896872,14.026444750771454
DAR,18,26,Case 5,148,0,1,0,5,18.922439024390243,7.101128539824539,7.101128539824539,4,17.798186718547473,14.97908404924614,0.49521931127368685,7.770493635737575,18.114151506710563,6.383119191233123,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,13,D1,XO,Case 4,XO case: minimum W over A; minimum G among candidates tied on W; maximum d if a tie remains according to Rule 3,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26",,Case 4 | D1 | XO | XO case: minimum W over A; minimum G among candidates tied on W; maximum d if a tie remains according to Rule 3,D2 is empty: every candidate d flagged at least one nominal Stage 3A event as OOC. | U is empty: every candidate in A has at least one rho value for which its d-CCSSBU-S ARL1 exceeds the corresponding S-chart ARL1 benchmark.,7.4561849668157665,7.811241393806993,8.521354247789446,10.651692809736808,14.202257079649078,15.977539214605212,353.0380779002498,187.13075913119312,67.26478698621594,10.535227469449868,2.8688483408311294,2.103065003134447,666.6666666666666,625,400,63.492063492063494,47.39336492890995,38.095238095238095,1.888370429138332,3.339910567892405,5.9466478364373465,6.026643817248204,16.519996632230374,18.114151506710563
DAR,19,26,Case 5,153,0,1,0,5,18.922439024390243,7.101128539824539,7.101128539824539,4,17.798186718547473,14.97908404924614,0.46464049540411934,6.565130396348501,15.667099738093981,3.336365274909141,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,13,D1,XO,Case 4,XO case: minimum W over A; minimum G among candidates tied on W; maximum d if a tie remains according to Rule 3,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26",,Case 4 | D1 | XO | XO case: minimum W over A; minimum G among candidates tied on W; maximum d if a tie remains according to Rule 3,D2 is empty: every candidate d flagged at least one nominal Stage 3A event as OOC. | U is empty: every candidate in A has at least one rho value for which its d-CCSSBU-S ARL1 exceeds the corresponding S-chart ARL1 benchmark.,7.4561849668157665,7.811241393806993,8.521354247789446,10.651692809736808,14.202257079649078,15.977539214605212,353.0380779002498,187.13075913119312,67.26478698621594,10.535227469449868,2.8688483408311294,2.103065003134447,338.98305084745766,173.91304347826087,81.96721311475409,61.53846153846153,39.761431411530815,32.94892915980231,0.9601883537991521,0.9293664188917996,1.2185753763191283,5.841208622871336,13.859718844535223,15.667099738093981
DAR,20,26,Case 5,159,0,1,0,5,18.922439024390243,7.101128539824539,7.101128539824539,4,17.798186718547473,14.97908404924614,0.4288583434679078,8.430924894127351,23.36592024821387,7.7134154687216165,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,13,D1,XO,Case 4,XO case: minimum W over A; minimum G among candidates tied on W; maximum d if a tie remains according to Rule 3,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26",,Case 4 | D1 | XO | XO case: minimum W over A; minimum G among candidates tied on W; maximum d if a tie remains according to Rule 3,D2 is empty: every candidate d flagged at least one nominal Stage 3A event as OOC. | U is empty: every candidate in A has at least one rho value for which its d-CCSSBU-S ARL1 exceeds the corresponding S-chart ARL1 benchmark.,7.4561849668157665,7.811241393806993,8.521354247789446,10.651692809736808,14.202257079649078,15.977539214605212,353.0380779002498,187.13075913119312,67.26478698621594,10.535227469449868,2.8688483408311294,2.103065003134447,689.6551724137931,625,588.2352941176471,84.03361344537815,56.81818181818181,49.14004914004914,1.9534866508327575,3.339910567892405,8.745070347701981,7.976440346357918,19.80522323523073,23.36592024821387
