Residue,d,q,calibration_case,nCal,OOC_ND,OOC_3A,OOC_3B,benchmark_n,mu_0,s_Z,sigma_Z,CL,UCL,W,G,in_A,in_U,selected,recommended_d,additive_shift_rho_0p5,additive_shift_rho_1,additive_shift_rho_1p5,additive_shift_rho_2,additive_shift_rho_2p5,additive_shift_rho_3,Xbar_chart_ARL1_rho_0p5,Xbar_chart_ARL1_rho_1,Xbar_chart_ARL1_rho_1p5,Xbar_chart_ARL1_rho_2,Xbar_chart_ARL1_rho_2p5,Xbar_chart_ARL1_rho_3,ARL1_rho_0p5,ARL1_rho_1,ARL1_rho_1p5,ARL1_rho_2,ARL1_rho_2p5,ARL1_rho_3
DAR,1,3,Case 2,3,0,0,0,6,2.4620028774182225,6.044080466352931,6.044080466352931,1.7900041506249769,3.913221890271325,0.9999931556825143,0.45829510643243176,TRUE,TRUE,FALSE,3,3.0220402331764653,6.044080466352931,9.066120699529396,12.088160932705861,15.110201165882327,18.132241399058792,26.34703100323395,3.4352797794702807,1.3332923047969123,1.0296137984558813,1.0008926904628785,1.0000068443643306,1.1522728582128248,1,1,1,1,1
DAR,2,3,Case 2,6,0,0,0,6,2.4620028774182225,6.044080466352931,6.044080466352931,1.43785023734292,4.584851168866603,0.9999931556825143,0.5062442743944405,TRUE,TRUE,FALSE,3,3.0220402331764653,6.044080466352931,9.066120699529396,12.088160932705861,15.110201165882327,18.132241399058792,26.34703100323395,3.4352797794702807,1.3332923047969123,1.0296137984558813,1.0008926904628785,1.0000068443643306,2.093364036005861,1,1,1,1,1
DAR,3,3,Case 2,10,0,0,0,6,2.4620028774182225,6.044080466352931,6.044080466352931,0.5906333274078942,4.091230393524309,0.9999931556825143,0.5658759028555049,TRUE,TRUE,TRUE,3,3.0220402331764653,6.044080466352931,9.066120699529396,12.088160932705861,15.110201165882327,18.132241399058792,26.34703100323395,3.4352797794702807,1.3332923047969123,1.0296137984558813,1.0008926904628785,1.0000068443643306,4.083299305839118,1,1,1,1,1
CAR,1,1,Case 1,10,0,0,0,3,1.5082444228903977,0.8730643075234003,0.8730643075234003,1.2291240961567367,4.122186642746222,36.05013543490629,9.71642574513553,TRUE,FALSE,TRUE,1,0.4365321537617001,0.8730643075234003,1.3095964612851003,1.7461286150468005,2.1826607688085007,2.6191929225702006,60.84260668297498,9.759278790723359,2.907055518539624,1.4731230299669262,1.1009387275645184,1.0142284032194255,36.56307129798903,36.56307129798903,36.56307129798903,36.56307129798903,36.56307129798903,36.56307129798903
Mic,1,1,Case 1,10,0,0,0,2,0.2,0.8944271909999159,0.8944271909999159,0.01788643870299389,2.073641874339017,4.309381738513112,0.8249187131298695,TRUE,FALSE,TRUE,1,0.44721359549995793,0.8944271909999159,1.3416407864998738,1.7888543819998317,2.23606797749979,2.6832815729997477,91.4367842379635,17.720731264281863,5.266584175865756,2.3147316597627285,1.4205091827240808,1.119745254657573,9.97506234413965,9.97506234413965,9.97506234413965,9.97506234413965,1,1
