Residue,d,q,calibration_case,nCal,OOC_ND,OOC_3A,OOC_3B,benchmark_n,mu_0,s_Z,sigma_Z,CL,UCL,W,G,in_A,in_U,selected,recommended_d,additive_shift_rho_0p5,additive_shift_rho_1,additive_shift_rho_1p5,additive_shift_rho_2,additive_shift_rho_2p5,additive_shift_rho_3,Xbar_chart_ARL1_rho_0p5,Xbar_chart_ARL1_rho_1,Xbar_chart_ARL1_rho_1p5,Xbar_chart_ARL1_rho_2,Xbar_chart_ARL1_rho_2p5,Xbar_chart_ARL1_rho_3,ARL1_rho_0p5,ARL1_rho_1,ARL1_rho_1p5,ARL1_rho_2,ARL1_rho_2p5,ARL1_rho_3
DAR,1,26,Case 4,10,0,0,0,5,18.922439024390243,7.101128539824539,7.101128539824539,19.416314925796584,19.53078170383664,1.0039424362195968,0.4002505807780458,TRUE,FALSE,FALSE,2,3.5505642699122695,7.101128539824539,10.651692809736808,14.202257079649078,17.752821349561348,21.303385619473616,33.39726146352509,4.49334086559408,1.5661913863448236,1.0757868705256628,1.0048149354866014,1.0001042431493563,1.0087763542822556,1.0087763542822556,1.0087763542822556,1.0087763542822556,1.0087763542822556,1
DAR,2,26,Case 5,13,0,0,0,5,18.922439024390243,7.101128539824539,7.101128539824539,19.383555394928614,19.54536870226182,0.9998957677161452,0.41410113971274604,TRUE,TRUE,TRUE,2,3.5505642699122695,7.101128539824539,10.651692809736808,14.202257079649078,17.752821349561348,21.303385619473616,33.39726146352509,4.49334086559408,1.5661913863448236,1.0757868705256628,1.0048149354866014,1.0001042431493563,1.2643823492224049,1.004621257785815,1.0033109260559847,1.0030090270812437,1.0023053021950485,1
DAR,3,26,Case 5,23,0,0,0,5,18.922439024390243,7.101128539824539,7.101128539824539,11.57296207503216,23.404029506962363,1.4666332462150875,1.0590666682319958,TRUE,FALSE,FALSE,2,3.5505642699122695,7.101128539824539,10.651692809736808,14.202257079649078,17.752821349561348,21.303385619473616,33.39726146352509,4.49334086559408,1.5661913863448236,1.0757868705256628,1.0048149354866014,1.0001042431493563,22.172949002217294,4.090816117815504,2.2527596305474207,1.577784790154623,1.1064394777605664,1.0050756319413037
DAR,4,26,Case 5,29,0,0,0,5,18.922439024390243,7.101128539824539,7.101128539824539,6.92482692478702,20.74173621733839,1.8683001369292667,0.8939988097050234,TRUE,FALSE,FALSE,2,3.5505642699122695,7.101128539824539,10.651692809736808,14.202257079649078,17.752821349561348,21.303385619473616,33.39726146352509,4.49334086559408,1.5661913863448236,1.0757868705256628,1.0048149354866014,1.0001042431493563,6.722689075630252,3.7544584193730057,2.926115581565472,1.7432232197332869,1.0075566750629723,1
DAR,5,26,Case 5,39,0,0,0,5,18.922439024390243,7.101128539824539,7.101128539824539,5.846368493720647,20.725197673603205,2.954611623302068,1.3741498991470538,TRUE,FALSE,FALSE,2,3.5505642699122695,7.101128539824539,10.651692809736808,14.202257079649078,17.752821349561348,21.303385619473616,33.39726146352509,4.49334086559408,1.5661913863448236,1.0757868705256628,1.0048149354866014,1.0001042431493563,18.535681186283597,7.412898443291327,4.6274872744099955,2.473716759431045,1.0876658690450294,1
DAR,6,26,Case 5,49,0,0,0,5,18.922439024390243,7.101128539824539,7.101128539824539,4.8403183477507286,20.405341901419064,4.696517629978499,1.8285611991558686,TRUE,FALSE,FALSE,2,3.5505642699122695,7.101128539824539,10.651692809736808,14.202257079649078,17.752821349561348,21.303385619473616,33.39726146352509,4.49334086559408,1.5661913863448236,1.0757868705256628,1.0048149354866014,1.0001042431493563,30.12048192771084,11.481056257175661,7.35564545788893,3.2076984763432232,1.1640765962400326,1
DAR,7,26,Case 5,59,0,0,0,5,18.922439024390243,7.101128539824539,7.101128539824539,3.6646823936413035,19.954770893816836,7.247350417656945,2.25475908789226,TRUE,FALSE,FALSE,2,3.5505642699122695,7.101128539824539,10.651692809736808,14.202257079649078,17.752821349561348,21.303385619473616,33.39726146352509,4.49334086559408,1.5661913863448236,1.0757868705256628,1.0048149354866014,1.0001042431493563,43.66812227074236,14.367816091954024,11.350737797956867,3.905487209529389,1.200408138767181,1
DAR,8,26,Case 5,69,0,0,0,5,18.922439024390243,7.101128539824539,7.101128539824539,2.8687928798249827,19.639716512873715,10.886471812371303,2.790831690248508,TRUE,FALSE,FALSE,2,3.5505642699122695,7.101128539824539,10.651692809736808,14.202257079649078,17.752821349561348,21.303385619473616,33.39726146352509,4.49334086559408,1.5661913863448236,1.0757868705256628,1.0048149354866014,1.0001042431493563,63.897763578274756,18.885741265344667,17.050298380221655,4.718093890068412,1.2367054167697256,1
DAR,9,26,Case 5,79,0,0,0,5,18.922439024390243,7.101128539824539,7.101128539824539,2.38906580388758,19.502229305805866,15.66850482933931,3.4844379788547273,TRUE,FALSE,FALSE,2,3.5505642699122695,7.101128539824539,10.651692809736808,14.202257079649078,17.752821349561348,21.303385619473616,33.39726146352509,4.49334086559408,1.5661913863448236,1.0757868705256628,1.0048149354866014,1.0001042431493563,90.09009009009009,26.17801047120419,24.539877300613497,5.863383172090296,1.3401232913428036,1
DAR,10,26,Case 5,89,12,9,0,5,18.922439024390243,7.101128539824539,7.101128539824539,2.202567909844908,19.335360060406256,21.247639660418532,4.280799192000577,FALSE,FALSE,FALSE,2,3.5505642699122695,7.101128539824539,10.651692809736808,14.202257079649078,17.752821349561348,21.303385619473616,33.39726146352509,4.49334086559408,1.5661913863448236,1.0757868705256628,1.0048149354866014,1.0001042431493563,133.33333333333334,35.02626970227671,33.277870216306155,7.656967840735069,1.3139741147099402,1
DAR,11,26,Case 5,99,12,9,0,5,18.922439024390243,7.101128539824539,7.101128539824539,1.9562197657121863,19.271775312271377,29.49152756561556,5.301022381805854,FALSE,FALSE,FALSE,2,3.5505642699122695,7.101128539824539,10.651692809736808,14.202257079649078,17.752821349561348,21.303385619473616,33.39726146352509,4.49334086559408,1.5661913863448236,1.0757868705256628,1.0048149354866014,1.0001042431493563,194.17475728155338,47.39336492890995,46.18937644341801,9.411764705882353,1.409343950391093,1
DAR,12,26,Case 5,109,12,9,0,5,18.922439024390243,7.101128539824539,7.101128539824539,1.624190124731037,19.11113456246564,47.471492326808686,7.432829463989607,FALSE,FALSE,FALSE,2,3.5505642699122695,7.101128539824539,10.651692809736808,14.202257079649078,17.752821349561348,21.303385619473616,33.39726146352509,4.49334086559408,1.5661913863448236,1.0757868705256628,1.0048149354866014,1.0001042431493563,307.6923076923077,77.82101167315174,74.34944237918215,15.32567049808429,1.5703517587939697,1
DAR,13,26,Case 5,117,12,9,0,5,18.922439024390243,7.101128539824539,7.101128539824539,1.505763596450957,18.94970673833229,56.50367891996255,8.52046184670674,FALSE,FALSE,FALSE,2,3.5505642699122695,7.101128539824539,10.651692809736808,14.202257079649078,17.752821349561348,21.303385619473616,33.39726146352509,4.49334086559408,1.5661913863448236,1.0757868705256628,1.0048149354866014,1.0001042431493563,434.7826086956522,92.59259259259258,88.49557522123894,17.937219730941703,1.5213753232922562,1
DAR,14,26,Case 5,124,12,9,0,5,18.922439024390243,7.101128539824539,7.101128539824539,1.4000419644958506,18.96893825040951,73.81405454284126,9.845749291278807,FALSE,FALSE,FALSE,2,3.5505642699122695,7.101128539824539,10.651692809736808,14.202257079649078,17.752821349561348,21.303385619473616,33.39726146352509,4.49334086559408,1.5661913863448236,1.0757868705256628,1.0048149354866014,1.0001042431493563,487.80487804878044,118.3431952662722,115.60693641618498,20.79002079002079,1.668195846192343,1
DAR,15,26,Case 5,126,12,9,0,5,18.922439024390243,7.101128539824539,7.101128539824539,1.3598899199621806,19.097095395540617,67.92463529740179,9.769001224837833,FALSE,FALSE,FALSE,2,3.5505642699122695,7.101128539824539,10.651692809736808,14.202257079649078,17.752821349561348,21.303385619473616,33.39726146352509,4.49334086559408,1.5661913863448236,1.0757868705256628,1.0048149354866014,1.0001042431493563,434.7826086956522,111.11111111111111,106.38297872340425,21.810250817884405,1.970249236528421,1
